stimulation_uid,headstage_type,electrode_location,experiment_start_time,experiment_name,animal_id,block_name,sampling_frequency,stimulation_time,pulse_frequency,train_frequency,stimulation_duration,stimulation_amplitude_a,stimulation_amplitude_b,stimulation_pulse_width_a,stimulation_pulse_width_b,stimulation_gap,stimulation_synchronicity,stimulation_type,stimulation_channel_order
1475603818.766000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,50.519163,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603822.261000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,54.006989,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603825.771000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,57.518244,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603828.750000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,60.519875,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603832.760000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,64.505037,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603836.270000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,68.004946,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603839.249000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,71.012844,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603842.276000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,74.038026,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603846.254000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,78.011310,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603849.748000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,81.527316,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603853.258000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,85.019812,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603856.769000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,88.530862,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603860.264000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,91.999887,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603863.760000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,95.505121,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603867.270000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,99.006300,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603870.780000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,102.515261,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603873.744000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,105.493012,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603877.254000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,109.016760,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603880.280000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,112.014909,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603883.776000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,115.511869,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603887.754000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,119.526277,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603891.248000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,123.004928,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603894.758000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,126.519624,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603898.268000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,130.019123,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603901.747000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,133.502484,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603905.273000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,137.017713,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603908.768000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,140.497510,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603912.278000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,144.036045,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603915.772000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,147.530588,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603918.752000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,150.539387,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603922.246000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,154.008044,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603925.756000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,157.511680,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603928.767000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,160.524370,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603932.746000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,164.511785,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603936.256000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,168.018207,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603939.751000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,171.511030,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603943.276000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,175.021261,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603946.773000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,178.519163,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603950.283000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,182.016287,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
1475603953.247000,ZC16-OB1,HPC,1475603768.984000,synchronousDEBUG,048,TempBlk,2.441406e+04,184.985231,7.000000,0.000000,1.000000,0.500000,0.500000,0.000041,0.000041,0.000000,1.000000,synchronous,1|3|5|7|10|12|14|16
